Track,Driver,Team,Starting Grid,Year,Target_Tier
6,24,22,3,2020,0
20,19,7,20,2022,2
34,38,0,13,2023,2
11,7,6,16,2022,2
15,4,12,3,2022,1
17,16,13,13,2024,1
18,27,26,15,2019,2
5,37,24,4,2022,2
34,37,21,20,2019,1
14,3,16,7,2019,1
1,6,27,13,2019,1
4,4,12,10,2025,1
30,38,14,12,2024,2
22,11,28,19,2019,2
16,7,26,14,2020,2
16,32,6,15,2023,2
28,31,15,8,2023,2
16,19,7,8,2024,1
2,19,7,9,2024,1
16,3,16,9,2020,1
3,32,6,9,2023,1
9,31,15,5,2024,1
16,0,28,16,2023,2
4,3,28,2,2025,0
11,27,13,10,2024,2
23,31,15,1,2025,0
7,4,12,6,2021,1
2,3,12,2,2024,0
16,13,19,10,2025,2
23,11,17,4,2024,1
1,21,17,3,2020,0
3,36,7,18,2022,2
34,11,17,20,2024,1
16,37,23,16,2024,1
17,8,7,10,2023,1
20,9,28,16,2024,2
8,12,14,20,2024,2
11,32,4,17,2022,2
28,31,15,2,2025,0
1,8,7,8,2024,1
15,32,6,10,2023,2
6,5,15,4,2021,1
17,1,1,10,2019,1
20,8,6,12,2021,1
16,9,6,14,2025,2
10,27,21,20,2020,1
16,39,23,20,2025,2
4,3,12,5,2021,1
23,22,19,8,2025,2
18,18,13,13,2019,2
31,5,26,8,2020,1
6,38,0,13,2023,2
1,7,6,8,2022,1
6,4,12,1,2019,0
25,19,7,16,2023,2
30,0,27,11,2019,2
7,27,13,11,2023,2
31,25,13,19,2021,2
4,27,13,12,2024,2
30,11,17,4,2022,0
28,27,13,15,2024,1
34,21,12,5,2025,1
8,4,12,10,2023,1
20,10,14,16,2025,1
4,11,28,16,2019,2
4,6,27,6,2019,2
3,4,12,6,2024,2
6,3,28,17,2025,2
15,36,12,6,2019,2
4,31,15,9,2025,2
29,18,1,12,2019,2
17,8,6,6,2022,2
14,19,21,15,2019,1
28,16,13,13,2024,2
31,3,16,3,2020,1
7,4,12,6,2024,1
22,39,4,11,2022,2
5,26,28,17,2021,2
3,11,17,3,2024,0
13,19,9,19,2021,1
15,27,21,13,2020,2
26,11,28,13,2020,2
30,0,28,20,2024,2
31,37,22,4,2021,1
34,24,22,1,2021,0
7,32,6,13,2024,0
17,19,21,9,2019,2
27,20,16,15,2020,1
34,39,3,11,2023,1
30,32,6,7,2024,1
5,31,15,18,2023,2
14,18,1,5,2019,2
1,11,17,4,2023,0
17,38,14,19,2024,2
15,21,17,5,2022,0
5,31,15,1,2025,0
24,39,2,14,2021,2
9,21,12,3,2026,0
29,20,15,1,2024,0
11,38,17,8,2021,2
28,37,24,1,2022,1
23,38,17,3,2021,0
6,32,4,8,2022,1
20,38,14,15,2024,2
22,7,6,3,2023,0
30,7,6,6,2023,1
8,19,7,16,2023,1
8,37,23,16,2024,2
3,39,23,18,2025,2
3,20,16,3,2020,0
29,7,13,17,2025,2
6,16,13,16,2023,2
